-0.35961,0.61225,0.069678,0.66902,2
-0.021815,0.94037,-0.06335,0.63139,2
-0.043242,0.41364,-0.43029,0.49652,1
0.078696,0.34493,-0.53107,0.45702,2
0.2993,0.15273,-0.34704,0.42287,2
0.50705,-0.24182,0.58501,0.56886,1
-0.51506,-0.40777,0.34806,0.43645,1
-0.25595,0.10583,-0.95646,0.4881,1
0.49386,-0.56965,0.50274,0.40617,2
0.79424,0.56662,0.48348,0.59963,1
0.88276,-0.7117,0.3676,0.63071,1
0.55954,-0.37796,0.20716,0.39537,2
-0.10819,-0.092851,0.095697,0.49397,1
0.76281,-0.12119,-0.56204,0.24666,2
-0.35984,-0.39724,0.47531,0.4255,1
0.15683,-0.77858,0.9578,0.51025,1
-0.80552,0.55003,-0.37101,0.65832,2
0.31495,0.76656,-0.62412,0.455,2
0.90252,0.11387,0.96164,0.60762,1
0.26893,0.98846,-0.1123,0.60385,2
0.93273,-0.39036,0.93629,0.61807,1
0.043194,-0.59028,-0.77271,0.25332,2
0.44432,0.98981,-0.46364,0.49516,2
-0.67614,-0.61481,-0.50274,0.45679,2
-0.30084,-0.23464,0.74779,0.46252,1
0.026161,0.95791,-0.29607,0.58215,2
-0.52615,0.49079,0.12381,0.42885,1
-0.66922,0.37696,-0.35356,0.63306,2
0.019809,0.63185,0.057128,0.61523,2
0.21856,-0.64316,0.062712,0.53694,1
-0.87433,0.034788,-0.93503,0.40824,1
-0.30077,0.26549,0.4495,0.42016,1
-0.52246,0.34953,-0.40155,0.4513,1
-0.82127,0.34455,0.36659,0.78745,2
-0.48797,-0.65319,0.78284,0.43655,1
0.98802,-0.31669,-0.02268,0.64995,1
0.1263,-0.6686,0.95616,0.56276,2
-0.95514,-0.59109,0.0066236,0.60957,2
-0.72405,-0.27255,-0.040377,0.59982,2
-0.87816,-0.08559,-0.46011,0.57748,2
0.68839,-0.70959,-0.66817,0.64462,1
0.76275,-0.84649,-0.90876,0.064681,2
-0.16899,-0.82971,-0.17069,0.3902,2
-0.99208,-0.63764,0.49992,0.35404,1
0.4206,-0.80211,-0.52737,0.61951,1
-0.47993,0.55037,0.37077,0.41012,1
-0.07822,0.93272,0.63267,0.46789,1
-0.41122,-0.93489,0.35004,0.52222,2
-0.42461,0.80346,0.64317,0.40315,1
